profile_id,survey_link,status,survey_completion_date_time,data_pipeline,link_source,platform,os,browser,version,ip,market,language,duration_seconds,[q5]: Single-select - What is your biological gender?,[q6]: Single-select - What is your race?,"[q7]: Single-select - Do you currently drive or have access to a car (owned, shared, or rental)? ",[q8]: Multi-select - What are your main reasons for not owning or driving a car?,"[q10]: Grid Single-select - We are going to show you a series of statements. Using the scale provided, kindly tell us how you feel about each of the statements. - Certificate of Entitlement (COE) prices are too high for the average Singaporean. ","[q11]: Grid Single-select - We are going to show you a series of statements. Using the scale provided, kindly tell us how you feel about each of the statements. - The COE system is effective in keeping Singapore’s vehicle population under control. ","[q12]: Grid Single-select - We are going to show you a series of statements. Using the scale provided, kindly tell us how you feel about each of the statements. - The COE system is a fair way to decide who gets to own a car in Singapore.","[q13]: Grid Single-select - We are going to show you a series of statements. Using the scale provided, kindly tell us how you feel about each of the statements. - The COE system should be reviewed or improved to better meet current needs. ","[q14]: Grid Single-select - We are going to show you a series of statements. Using the scale provided, kindly tell us how you feel about each of the statements. - The government is doing enough to manage and stabilise COE prices."
byVh2W8uGILNgeEDfMzkazydzpdbBjMovUeTMATDS2is1TPi,,completed,2025-11-06T20:10:28.023+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,44.37,Male,Others,"Yes, I use car rental or car-sharing services",,Neutral,Neutral,Neutral,Neutral,Neutral
fP10LRk5RcFBbEBstclAwmKtIyJjJ0ScFYIULgSgtiNM91te,,completed,2025-11-08T14:22:19.460+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,64.85,Female,Chinese,"No, I do not drive or have access to a car",I do not have a driving licence; Other,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree
qs0PMQQMOotoKLnx8LZbSPojiv6ZR19w6EYDVDdyTLOAZvC5,,completed,2025-11-07T01:54:42.268+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,251.55,Male,Malay,"No, I do not drive or have access to a car","I prefer other modes of transport (e.g. cycling, ride-hailing) ",Disagree,Neutral,Agree,Disagree,Strongly Disagree
oLVvePX3uYmPe7TwU4wibBCJhtHbSPyuDnLUnJ8v50wVMpKc,,completed,2025-11-06T16:59:44.730+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,32.92,Male,Chinese,"Yes, I use car rental or car-sharing services",,Neutral,Neutral,Neutral,Neutral,Neutral
hP8TrCP1hBMrsbKHsP50xDm7q2rlYA20EpRiWIZ6QWQlTXgr,,completed,2025-11-07T19:30:57.292+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,79.83,Female,Malay,"No, I do not drive or have access to a car",I do not have a driving licence,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree
MJgRFCFZ9yEoxC0cGMU5ouH6bIy3dvKm5RWV0q4VwUPSehse,,completed,2025-11-08T14:00:58.021+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,1038.68,Male,Chinese,"No, I do not drive or have access to a car","I prefer other modes of transport (e.g. cycling, ride-hailing) ",Neutral,Neutral,Neutral,Neutral,Neutral
H3rwPx5J0ULGNkFfwZMYZ6rR2tqbHmvpHj13iKmiPQRE0EvK,,completed,2025-11-07T20:18:42.715+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,38.56,Female,Chinese,"Yes, I share a car with others (e.g. family, friends)",,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
pruFtNmljP3Zd0XYU0jgUpf6NbDbnxig131KbX6Lple24hbj,,completed,2025-11-08T14:51:01.725+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,38.71,Female,Chinese,"No, I do not drive or have access to a car","General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ; Sufficient public transport options ",Agree,Agree,Agree,Neutral,Disagree
ewEKKxvxCPs3OscD2hhbsXdpiNvZVRRAnTkxwTG8jEjfsGLM,,completed,2025-11-07T17:28:00.234+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,25.96,Male,Chinese,"Yes, I own a car ",,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2X2vVNXVX8jK3JxImae4sGiljfony4hnFIzX4oozrZMCno0a,,completed,2025-11-07T19:28:06.775+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,70.58,Male,Malay,"No, I do not drive or have access to a car",Environmental or sustainability concerns ; I do not have a driving licence,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
Fl4auXsJVAvY7yVyXzpBCWPVPL8u5II4PQ2p3DZBsBNfswnv,,completed,2025-11-07T13:19:48.593+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,68.04,Female,Malay,"No, I do not drive or have access to a car","Certificate of Entitlement (COE) prices are too high; General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ",Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
4Pab4oyw6F4ByCOScqeSrSnZrpxMZH71uupziutyMWjb27wi,,completed,2025-11-08T13:27:20.786+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,54.53,Female,Chinese,"No, I do not drive or have access to a car",I do not have a driving licence,Strongly Agree,Strongly Disagree,Agree,Agree,Agree
54vtOYvJO6nJfesqjSM6cPUkgvClmykWWyHj33auQuEirAGu,,completed,2025-11-07T12:49:15.804+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,41.72,Male,Chinese,"No, I do not drive or have access to a car",Certificate of Entitlement (COE) prices are too high; Sufficient public transport options ,Neutral,Disagree,Disagree,Neutral,Neutral
POBbA6BvyFoPixSfkMsTme14g8xXpGsbDk8Fe5ZzKenfgfFI,,completed,2025-11-08T16:51:56.786+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,27.09,Male,Chinese,"Yes, I share a car with others (e.g. family, friends)",,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
HrTe5RHAPmAFcKDsMDNJevs73aRpBpJT9qCIjvZfOVqxLXBB,,completed,2025-11-08T13:33:03.127+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,55.99,Male,Chinese,"No, I do not drive or have access to a car",Sufficient public transport options ,Strongly Agree,Neutral,Disagree,Strongly Agree,Neutral
